,attack_results_SME_attack_type,attack_results_SME_maliciousness,attack_results_SME_attack_strength,attack_results_SME_potential_impact,attack_results_SME_cvss_base_score,attack_results_SMB_attack_type,attack_results_SMB_maliciousness,attack_results_SMB_attack_strength,attack_results_SMB_potential_impact,attack_results_SMB_cvss_base_score,total_workload,impact_availability,impact_confidentiality,impact_integrity
0,SQL Injection,0.49178742,0.73768113,Medium,7,SQL Injection,0.49178742,0.73768113,Medium,7,0.73768113,0.61768113,2.8,2.8
1,DDoS,0.75,1.125,High,7,DDoS,0.75,1.125,High,7,1.125,0.8,0,0
2,DDoS,0.809991246,1.214986868,High,7,DDoS,0.809991246,1.214986868,High,7,1.214986868,0.8,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SQL Injection,0.165685028,0.248527541,High,9,SQL Injection,0.165685028,0.248527541,High,9,0.248527541,0.128527541,7.2,7.2
5,SQL Injection,0.583731384,0.875597076,High,9,SQL Injection,0.583731384,0.875597076,High,9,2.450597076,2.330597076,7.2,7.2
6,DDoS,0.845372875,1.268059312,High,7,DDoS,0.845372875,1.268059312,High,7,2.843059312,0.8,0,0
7,SQL Injection,0.75,1.125,Medium,7,SQL Injection,0.75,1.125,Medium,7,1.125,1.005,2.8,2.8
8,DDoS,0.78375518,1.17563277,Low,0,DDoS,0.78375518,1.17563277,Low,0,1.17563277,1.008607459,0,0
9,DDoS,0.60126564,0.90189846,Low,0,DDoS,0.60126564,0.90189846,Low,0,0.90189846,0.745822521,0,0
10,SQL Injection,0.512598385,0.768897578,Medium,7,SQL Injection,0.512598385,0.768897578,Medium,7,0.768897578,0.648897578,2.8,2.8
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SQL Injection,0.488948264,0.733422396,Low,0,SQL Injection,0.488948264,0.733422396,Low,0,0.733422396,0.613422396,0,0
13,SQL Injection,0.75,1.125,Medium,7,SQL Injection,0.75,1.125,Medium,7,2.7,2.58,2.8,2.8
14,SQL Injection,0.592900352,0.889350528,Medium,7,SQL Injection,0.592900352,0.889350528,Medium,7,2.149540828,2.029540828,7.2,7.2
15,SQL Injection,0.01371922,0.02057883,Low,0,SQL Injection,0.01371922,0.02057883,Low,0,0.02057883,0,0,0
16,DDoS,0.91616174,1.37424261,High,7,DDoS,0.91616174,1.37424261,High,7,1.37424261,0.8,0,0
17,DDoS,0.604367208,0.906550812,Medium,0,DDoS,0.604367208,0.906550812,Medium,0,0.906550812,0.750288779,0,0
18,DDoS,0.45514106,0.682711591,Medium,0,DDoS,0.45514106,0.682711591,Medium,0,0.682711591,0.535403127,0,0
19,DDoS,0.350140467,0.5252107,Low,0,DDoS,0.350140467,0.5252107,Low,0,0.5252107,0.384202272,0,0
20,SQL Injection,0.038074941,0.057112411,High,9,SQL Injection,0.038074941,0.057112411,High,9,0.057112411,0,7.2,7.2
21,DDoS,0.75,1.125,Low,0,DDoS,0.75,1.125,Low,0,1.125,0.96,0,0
22,DDoS,0.926286341,1.389429512,Low,0,DDoS,0.926286341,1.389429512,Low,0,1.389429512,1.213852331,0,0
23,DDoS,0.879762753,1.31964413,Low,0,DDoS,0.879762753,1.31964413,Low,0,1.326268197,1.153482432,2.8,2.8
24,SQL Injection,0.770851906,1.156277859,Low,0,SQL Injection,0.770851906,1.156277859,Low,0,1.156277859,1.036277859,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SQL Injection,0.76553794,1.14830691,Medium,7,SQL Injection,0.76553794,1.14830691,Medium,7,1.755269511,1.635269511,2.8,2.8
