off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet File Transfer Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet File Transfer Traffic,Detect,File Carving,analyzes,File Transfer Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,DNS Traffic Analysis,analyzes,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Allowlisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet File Transfer Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Denylisting,blocks,DNS Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Web Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Reverse Resolution IP Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Forward Resolution Domain Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet Web Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Web Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Web Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Web Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
creates,Custom Archive File,Evict,File Removal,deletes,File
creates,Custom Archive File,Harden,File Encryption,encrypts,File
creates,Custom Archive File,Harden,Local File Permissions,restricts,File
creates,Archive File,Deceive,Decoy File,spoofs,File
creates,Archive File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Custom Archive File,Detect,File Analysis,analyzes,File
creates,Archive File,Deceive,Decoy File,spoofs,File
creates,Archive File,Evict,File Removal,deletes,File
creates,Archive File,Harden,File Encryption,encrypts,File
creates,Archive File,Harden,Local File Permissions,restricts,File
creates,Archive File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Archive File,Detect,File Analysis,analyzes,File
may-create,Shared Library File,Deceive,Decoy File,spoofs,File
may-modify,User Startup Script File,Detect,Emulated File Analysis,analyzes,Executable File
may-modify,User Startup Script File,Detect,Dynamic Analysis,analyzes,Executable File
may-modify,User Startup Script File,Evict,File Removal,deletes,File
may-modify,Symbolic Link,Harden,Local File Permissions,restricts,File
may-modify,Symbolic Link,Harden,File Encryption,encrypts,File
modifies,System Service Software,Harden,Software Update,updates,Software
may-modify,User Startup Script File,Isolate,Executable Allowlisting,blocks,Executable File
may-modify,User Startup Script File,Isolate,Executable Denylisting,blocks,Executable File
modifies,User Logon Init Resource,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
modifies,System Service Software,Model,Software Inventory,inventories,Software
modifies,System Configuration Database Record,Model,Configuration Inventory,inventories,Configuration Resource
may-modify,Symbolic Link,Detect,File Analysis,analyzes,File
may-modify,System Configuration Init Database Record,Detect,System Init Config Analysis,analyzes,System Init Configuration
may-modify,User Startup Script File,Deceive,Decoy File,spoofs,File
may-modify,User Startup Script File,Detect,Dynamic Analysis,analyzes,Executable File
may-modify,User Startup Script File,Harden,Local File Permissions,restricts,File
may-modify,User Startup Script File,Harden,File Encryption,encrypts,File
may-modify,User Startup Script File,Detect,Emulated File Analysis,analyzes,Executable File
may-modify,User Startup Script File,Isolate,Executable Denylisting,blocks,Executable File
may-modify,User Startup Script File,Isolate,Executable Allowlisting,blocks,Executable File
may-modify,User Startup Script File,Evict,File Removal,deletes,File
may-modify,System Configuration Init Database Record,Model,Configuration Inventory,inventories,Configuration Resource
may-modify,System Configuration Init Database Record,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-modify,User Startup Script File,Detect,File Analysis,analyzes,File
may-modify,System Configuration Init Database Record,Detect,System Init Config Analysis,analyzes,System Init Configuration
accesses,Password,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
accesses,Password,Deceive,Decoy User Credential,spoofs,Credential
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Password,Evict,Credential Revoking,deletes,Credential
