off rel ,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
accesses,Password,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
accesses,Password,Deceive,Decoy User Credential,spoofs,Credential
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Password,Evict,Credential Revoking,deletes,Credential
accesses,Password,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Password,Harden,One-time Password,use-limits,Password
accesses,Password,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Password,Harden,Strong Password Policy,strengthens,Password
accesses,Password,Harden,Credential Rotation,regenerates,Credential
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Authentication,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Password,Detect,Credential Compromise Scope Analysis,analyzes,Credential
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
may-create,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
accesses,Password,Harden,Strong Password Policy,strengthens,Password
accesses,Password,Harden,Credential Rotation,regenerates,Credential
accesses,Password,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Password,Harden,One-time Password,use-limits,Password
accesses,Password,Deceive,Decoy User Credential,spoofs,Credential
accesses,Password,Evict,Credential Revoking,deletes,Credential
accesses,Password,Evict,Authentication Cache Invalidation,deletes,Credential
modifies,Authentication Log,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-create,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Detect,File Analysis,analyzes,File
executes,Executable Script,Deceive,Decoy File,spoofs,File
executes,Executable Script,Detect,Dynamic Analysis,analyzes,Executable File
executes,Executable Script,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable Script,Evict,File Removal,deletes,File
executes,Executable Script,Harden,File Encryption,encrypts,File
executes,Executable Script,Harden,Local File Permissions,restricts,File
executes,Executable Script,Isolate,Executable Allowlisting,blocks,Executable File
executes,Executable Script,Isolate,Executable Denylisting,blocks,Executable File
executes,Executable Script,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
executes,Executable Script,Detect,File Analysis,analyzes,File
creates,User Account,Evict,Account Locking,disables,User Account
creates,Domain User Account,Harden,Strong Password Policy,strengthens,User Account
creates,Local User Account,Harden,Biometric Authentication,authenticates,User Account
creates,User Account,Harden,Multi-factor Authentication,authenticates,User Account
creates,Local User Account,Harden,User Account Permissions,restricts,User Account
creates,Domain User Account,Harden,One-time Password,authenticates,User Account
creates,Domain User Account,Model,Access Modeling,maps,User Account
creates,User Account,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Domain User Account,Detect,Domain Account Monitoring,monitors,Domain User Account
creates,Local User Account,Detect,Local Account Monitoring,analyzes,Local User Account
creates,User Account,Evict,Account Locking,disables,User Account
creates,User Account,Harden,Multi-factor Authentication,authenticates,User Account
creates,User Account,Harden,One-time Password,authenticates,User Account
creates,User Account,Harden,Strong Password Policy,strengthens,User Account
creates,User Account,Harden,User Account Permissions,restricts,User Account
creates,User Account,Harden,Biometric Authentication,authenticates,User Account
creates,User Account,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,User Account,Model,Access Modeling,maps,User Account
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Evict,File Removal,deletes,File
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,MacOS Keychain,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,MacOS Keychain,Model,Data Inventory,inventories,Database
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
accesses,Database File,Detect,File Analysis,analyzes,File
accesses,Database File,Deceive,Decoy File,spoofs,File
may-invoke,Read File,Detect,System Call Analysis,analyzes,System Call
accesses,Database File,Harden,Local File Permissions,restricts,File
accesses,Database File,Harden,File Encryption,encrypts,File
accesses,Database File,Evict,File Removal,deletes,File
may-access,In-memory Password Store,Model,Data Inventory,inventories,Database
may-access,In-memory Password Store,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Database File,Detect,File Analysis,analyzes,File
may-invoke,Read File,Isolate,System Call Filtering,filters,System Call
produces,Outbound Internet Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,URL,Detect,Homoglyph Detection,analyzes,URL
produces,URL,Detect,URL Analysis,analyzes,URL
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
modifies,Process Segment,Harden,Process Segment Execution Prevention,neutralizes,Process Segment
modifies,Process Segment,Harden,Segment Address Offset Randomization,obfuscates,Process Segment
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,URL,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,URL,Detect,Identifier Analysis,analyzes,Identifier
produces,URL,Detect,URL Reputation Analysis,analyzes,URL
produces,Outbound Internet Network Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
accesses,Mail Server,Deceive,Decoy Network Resource,spoofs,Network Resource
reads,Email,Deceive,Decoy File,spoofs,File
reads,Email,Detect,Dynamic Analysis,analyzes,Document File
reads,Email,Detect,Emulated File Analysis,analyzes,Document File
reads,Email,Detect,Sender MTA Reputation Analysis,analyzes,Email
reads,Email,Detect,Sender Reputation Analysis,analyzes,Email
reads,Email,Harden,File Encryption,encrypts,File
reads,Email,Harden,Local File Permissions,restricts,File
modifies,Application Configuration,Harden,Application Configuration Hardening,hardens,Application Configuration
reads,Email,Evict,File Removal,deletes,File
reads,Email,Detect,Homoglyph Detection,analyzes,Email
reads,Email,Model,Data Inventory,inventories,Document File
accesses,Mail Server,Model,Network Node Inventory,inventories,Network Node
modifies,Application Configuration,Model,Configuration Inventory,inventories,Configuration Resource
reads,Email,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Mail Server,Model,Logical Link Mapping,maps,Network Node
accesses,Mail Server,Model,Physical Link Mapping,maps,Network Node
accesses,Mail Server,Evict,Email Removal,may-access,Mail Server
reads,Email,Detect,File Analysis,analyzes,File
accesses,Mail Server,Model,Network Node Inventory,inventories,Network Node
accesses,Resource,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Mail Server,Model,Logical Link Mapping,maps,Network Node
accesses,Mail Server,Model,Physical Link Mapping,maps,Network Node
accesses,Mail Server,Evict,Email Removal,may-access,Mail Server
accesses,Mail Server,Deceive,Decoy Network Resource,spoofs,Network Resource
accesses,File,Deceive,Decoy File,spoofs,File
accesses,File,Evict,File Removal,deletes,File
accesses,File,Harden,File Encryption,encrypts,File
accesses,File,Harden,Local File Permissions,restricts,File
accesses,File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,File,Detect,File Analysis,analyzes,File
no defensive relations yet,,,,,
modifies,Executable Binary,Deceive,Decoy File,spoofs,File
creates,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
modifies,Executable Binary,Detect,Dynamic Analysis,analyzes,Executable File
modifies,Executable Binary,Evict,File Removal,deletes,File
modifies,Executable Binary,Harden,File Encryption,encrypts,File
modifies,Executable Binary,Harden,Local File Permissions,restricts,File
modifies,Executable Binary,Isolate,Executable Denylisting,blocks,Executable File
creates,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
modifies,Executable Binary,Detect,File Analysis,analyzes,File
creates,JavaScript Blob,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
no defensive relations yet,,,,,
no defensive relations yet,,,,,
accesses,Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Password File,Deceive,Decoy File,spoofs,File
produces,Intranet Administrative Network Traffic,Detect,Administrative Network Activity Analysis,analyzes,Intranet Administrative Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Connection Attempt Analysis,analyzes,Intranet Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Intranet Administrative Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
accesses,Encrypted Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
accesses,Process,Detect,Process Spawn Analysis,analyzes,Process
may-access,Process,Detect,Process Self-Modification Detection,analyzes,Process
accesses,Credential,Evict,Credential Revoking,deletes,Credential
accesses,Encrypted Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Authentication Service,Evict,Process Suspension,suspends,Process
may-access,Process,Evict,Process Termination,terminates,Process
accesses,Password File,Evict,File Removal,deletes,File
accesses,Encrypted Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Password File,Harden,File Encryption,encrypts,File
accesses,Password File,Harden,Local File Permissions,restricts,File
accesses,Process,Isolate,Hardware-based Process Isolation,isolates,Process
produces,Intranet Administrative Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
accesses,Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-access,System Password Database,Model,Data Inventory,inventories,Database
accesses,Operating System File,Detect,File Analysis,analyzes,File
accesses,Operating System File,Detect,System File Analysis,analyzes,Operating System File
accesses,Authentication Service,Detect,Process Lineage Analysis,analyzes,Process
accesses,Authentication Service,Isolate,Mandatory Access Control,isolates,Process
accesses,Process,Detect,Process Self-Modification Detection,analyzes,Process
accesses,Process,Detect,Process Spawn Analysis,analyzes,Process
accesses,Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Process,Evict,Process Termination,terminates,Process
accesses,Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
accesses,Authentication Service,Evict,Process Suspension,suspends,Process
accesses,Authentication Service,Isolate,Hardware-based Process Isolation,isolates,Process
accesses,Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Process,Detect,Process Lineage Analysis,analyzes,Process
accesses,Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Credential,Evict,Credential Revoking,deletes,Credential
accesses,Process,Isolate,Mandatory Access Control,isolates,Process
may-access,Process,Detect,Process Self-Modification Detection,analyzes,Process
may-access,Process,Detect,Process Spawn Analysis,analyzes,Process
accesses,Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
may-access,System Password Database,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-access,System Password Database,Model,Data Inventory,inventories,Database
may-access,Process,Evict,Process Termination,terminates,Process
may-access,Process,Evict,Process Suspension,suspends,Process
may-access,Process,Isolate,Hardware-based Process Isolation,isolates,Process
accesses,Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Credential,Evict,Credential Revoking,deletes,Credential
may-access,Process,Detect,Process Lineage Analysis,analyzes,Process
may-access,Process,Isolate,Mandatory Access Control,isolates,Process
accesses,Encrypted Credential,Deceive,Decoy User Credential,spoofs,Credential
accesses,Encrypted Credential,Detect,Credential Compromise Scope Analysis,analyzes,Credential
accesses,Encrypted Credential,Evict,Credential Revoking,deletes,Credential
may-modify,Log,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,Encrypted Credential,Evict,Authentication Cache Invalidation,deletes,Credential
accesses,Encrypted Credential,Harden,Credential Transmission Scoping,restricts,Credential
accesses,Encrypted Credential,Harden,Credential Rotation,regenerates,Credential
accesses,Operating System File,Deceive,Decoy File,spoofs,File
may-add,Executable Binary,Detect,Dynamic Analysis,analyzes,Executable File
may-add,Executable Binary,Detect,Emulated File Analysis,analyzes,Executable File
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
modifies,Process Code Segment,Detect,Process Code Segment Verification,verifies,Process Code Segment
invokes,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
accesses,Shared Library File,Evict,File Removal,deletes,File
may-add,Executable Binary,Harden,File Encryption,encrypts,File
may-add,Executable Binary,Harden,Local File Permissions,restricts,File
modifies,Process Code Segment,Harden,Segment Address Offset Randomization,obfuscates,Process Segment
modifies,Process Code Segment,Harden,Process Segment Execution Prevention,neutralizes,Process Segment
invokes,Create Process,Isolate,Executable Denylisting,restricts,Create Process
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
invokes,Create Process,Isolate,Executable Allowlisting,restricts,Create Process
invokes,System Call,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-add,Object File,Detect,File Analysis,analyzes,File
accesses,Operating System File,Detect,System File Analysis,analyzes,Operating System File
modifies,Process Code Segment,Detect,Memory Boundary Tracking,analyzes,Process Code Segment
invokes,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
invokes,Create Process,Isolate,System Call Filtering,filters,System Call
invokes,Create Process,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
invokes,Create Process,Isolate,Executable Allowlisting,restricts,Create Process
invokes,Create Process,Isolate,Executable Denylisting,restricts,Create Process
invokes,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
invokes,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
invokes,Create Process,Isolate,System Call Filtering,filters,System Call
produces,Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Network Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Network Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-invoke,Create Process,Detect,System Call Analysis,analyzes,System Call
may-invoke,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
may-access,Operating System Configuration File,Deceive,Decoy File,spoofs,File
produces,Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-access,Operating System Configuration File,Evict,File Removal,deletes,File
may-invoke,Create Process,Isolate,Executable Allowlisting,restricts,Create Process
may-invoke,Create Process,Isolate,Executable Denylisting,restricts,Create Process
produces,Network Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-access,Operating System Configuration File,Harden,Local File Permissions,restricts,File
may-access,Operating System Configuration File,Harden,File Encryption,encrypts,File
may-invoke,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
may-access,Operating System Configuration File,Detect,File Analysis,analyzes,File
may-access,Operating System Configuration File,Detect,System File Analysis,analyzes,Operating System File
may-access,Operating System Configuration File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
