off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
executes,Executable File,Deceive,Decoy File,spoofs,File
executes,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
invokes,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
executes,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
executes,Executable File,Evict,File Removal,deletes,File
modifies,Operating System Configuration File,Harden,Local File Permissions,restricts,File
modifies,Operating System Configuration File,Harden,File Encryption,encrypts,File
creates,System Configuration Database,Harden,System Configuration Permissions,restricts,System Configuration Database
executes,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
executes,Executable File,Isolate,Executable Denylisting,blocks,Executable File
creates,System Configuration Database,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-modify,System Configuration Database Record,Model,Configuration Inventory,inventories,Configuration Resource
creates,System Configuration Database,Model,Data Inventory,inventories,Database
modifies,Access Control Configuration,Model,Network Traffic Policy Mapping,maps,Access Control Configuration
modifies,Access Control Configuration,Model,Access Modeling,maps,Access Control Configuration
modifies,Operating System Configuration File,Detect,File Analysis,analyzes,File
modifies,Operating System Configuration File,Detect,System File Analysis,analyzes,Operating System File
invokes,Create Process,Isolate,Mandatory Access Control,restricts,Create Process
invokes,System Call,Isolate,System Call Filtering,filters,System Call
executes,Executable File,Deceive,Decoy File,spoofs,File
executes,Executable File,Detect,Dynamic Analysis,analyzes,Executable File
invokes,Create Process,Detect,System Call Analysis,analyzes,System Call
invokes,Create Process,Detect,Process Spawn Analysis,analyzes,Create Process
executes,Executable File,Detect,Emulated File Analysis,analyzes,Executable File
executes,Executable File,Evict,File Removal,deletes,File
executes,Executable File,Harden,File Encryption,encrypts,File
executes,Executable File,Harden,Local File Permissions,restricts,File
executes,Executable File,Isolate,Executable Allowlisting,blocks,Executable File
invokes,Create Process,Isolate,Hardware-based Process Isolation,restricts,Create Process
invokes,Create Process,Isolate,Executable Denylisting,restricts,Create Process
executes,Executable File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-modify,System Configuration Database Record,Model,Configuration Inventory,inventories,Configuration Resource
executes,Executable File,Detect,File Analysis,analyzes,File
