off rel,off artifact,D3FEND Tactic,D3FEND Technique,def rel,def artifact
no defensive relations yet,,,,,
creates,Local User Account,Evict,Account Locking,disables,User Account
creates,Local User Account,Harden,Strong Password Policy,strengthens,User Account
creates,Local User Account,Harden,User Account Permissions,restricts,User Account
creates,Local User Account,Harden,Biometric Authentication,authenticates,User Account
creates,Local User Account,Harden,One-time Password,authenticates,User Account
creates,Local User Account,Model,Access Modeling,maps,User Account
creates,Local User Account,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Local User Account,Detect,Local Account Monitoring,analyzes,Local User Account
creates,Local User Account,Harden,Multi-factor Authentication,authenticates,User Account
creates,Domain User Account,Detect,Domain Account Monitoring,monitors,Domain User Account
creates,Domain User Account,Evict,Account Locking,disables,User Account
creates,Domain User Account,Harden,Strong Password Policy,strengthens,User Account
creates,Domain User Account,Harden,User Account Permissions,restricts,User Account
creates,Domain User Account,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
creates,Domain User Account,Harden,Biometric Authentication,authenticates,User Account
creates,Domain User Account,Harden,Multi-factor Authentication,authenticates,User Account
creates,Domain User Account,Harden,One-time Password,authenticates,User Account
creates,Domain User Account,Model,Access Modeling,maps,User Account
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet File Transfer Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Network Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
produces,Outbound Internet Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet File Transfer Traffic,Detect,File Carving,analyzes,File Transfer Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,DNS Traffic Analysis,analyzes,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Allowlisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet File Transfer Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Denylisting,blocks,DNS Network Traffic
produces,Outbound Internet Network Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Web Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Reverse Resolution IP Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Forward Resolution Domain Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet Web Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet Web Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet Web Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
produces,Outbound Internet Web Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet Web Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Relay Pattern Analysis,analyzes,Outbound Internet Network Traffic
may-transfer,Certificate File,Deceive,Decoy File,spoofs,File
produces,Outbound Internet DNS Lookup Traffic,Detect,DNS Traffic Analysis,analyzes,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Remote Terminal Session Detection,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Network Traffic Community Deviation,analyzes,Network Traffic
may-transfer,Certificate File,Detect,Certificate Analysis,analyzes,Certificate File
produces,Outbound Internet DNS Lookup Traffic,Detect,Per Host Download-Upload Ratio Analysis,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
may-transfer,Certificate File,Evict,File Removal,deletes,File
may-transfer,Certificate File,Harden,File Encryption,encrypts,File
may-transfer,Certificate File,Harden,Local File Permissions,restricts,File
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Allowlisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,DNS Denylisting,blocks,DNS Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Network Traffic Filtering,filters,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
produces,Outbound Internet DNS Lookup Traffic,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
may-transfer,Certificate File,Detect,File Analysis,analyzes,File
produces,Outbound Internet DNS Lookup Traffic,Isolate,Reverse Resolution IP Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Forward Resolution Domain Denylisting,blocks,Outbound Internet DNS Lookup Traffic
produces,Outbound Internet DNS Lookup Traffic,Isolate,Outbound Traffic Filtering,filters,Outbound Network Traffic
accesses,File,Harden,Local File Permissions,restricts,File
accesses,File,Harden,File Encryption,encrypts,File
accesses,File,Model,Asset Vulnerability Enumeration,evaluates,Digital Artifact
accesses,File,Detect,File Analysis,analyzes,File
accesses,File,Deceive,Decoy File,spoofs,File
accesses,File,Evict,File Removal,deletes,File
accesses,Password,Detect,Credential Compromise Scope Analysis,analyzes,Credential
produces,Authentication,Detect,Authentication Event Thresholding,analyzes,Authentication
produces,Authentication,Detect,Resource Access Pattern Analysis,analyzes,Authentication
accesses,Password,Deceive,Decoy User Credential,spoofs,Credential
produces,Authentication,Detect,Session Duration Analysis,analyzes,Authentication
may-create,Intranet Administrative Network Traffic,Detect,User Geolocation Logon Pattern Analysis,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Protocol Metadata Anomaly Detection,analyzes,Network Traffic
may-create,Intranet Administrative Network Traffic,Detect,Client-server Payload Profiling,analyzes,Network Traffic
